numero_manuscrito,tipo_articulo,titulo,autor,fecha_inicial,fecha_estado,estado_actual,editor,estado_evaluacion,decision_editor,data_identity
NEFRO-D-22-00366,Original,Características y desenlaces en receptores de trasplante renal durante el predominio de la variante Ómicron en Colombia. -  -   - Characteristics and outcomes in renal transplant recipients during the predominance of the Omicron variant in Colombia.,"Maricely Reina, nephrologist",05/10/2022,11/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15877
,Original,NEFROPATIA POR IgA EM PACIENTE SEM HISTÓRIA PRÉVIA DE INJÚRIA RENAL: RELATO DE CASO.,Alana de Moura Martins Alana,04/10/2022,04/01/2023,Content Files Deleted - Forced to Withdrawn,,Forzado a Retirado,,15922
NEFRO-D-22-00363,Original,Efectos multifactoriales del ejercicio intradialítico en pacientes en hemodiálisis,ALPER ALP,04/10/2022,18/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15921
NEFRO-D-22-00362,Original,Identificación de los factores de riesgo de infección relacionada con catéter venoso central en pacientes en hemodiálisis mediante minería de datos - Identifying the risk factors of central venous catheter-related infection in hemodialysis patients using data mining,Neda Abdolvand,03/10/2022,06/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15916
NEFRO-D-22-00357,Cartas al editor,GLOMERULONEFRITIS PAUCI-INMUNE ASOCIADA A GLOMERULONEFRITIS POSTINFECCIOSA POR CHLAMYDIA PNEUMONIAE: UN DESAFÍO TERAPÉUTICO,Miguel Ángel González Martínez,02/10/2022,13/12/2022,FIN CIRCUITO: Retirado,Mariano Rodriguez,Retirado,Grandes cambios / Major revision,15910
NEFRO-D-22-00358,Revisiones cortas,Evaluación de la función renal en oncología - Glomerular Filtration Rate in Oncology &#8211; a short review,Teresa Furtado,01/10/2022,06/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15915
NEFRO-D-22-00359,Cartas al editor,Peritonitis por Pantoea agglomerans. Una peritonitis en Sant Jordi.,loreley Betancourt Castellanos,30/09/2022,11/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15912
NEFRO-D-22-00356,Original,Cardiovascular health and target end-organ damage and comorbidities in hypertensive patients from a Spanish primary care urban population.,Domingo Hernandez,30/09/2022,09/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15908
NEFRO-D-22-00353,Imágenes,Síndrome de Vena Cava Superior izquierda persistente,Paula Ocabo Buil,29/09/2022,05/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15899
NEFRO-D-22-00355R1,Revisión,RIPK3 and kidney disease,Ana B Sanz,29/09/2022,28/12/2022,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15890
NEFRO-D-22-00348,Original,Systemic immune inflammation index and Neutrophil to albumin ratio shows left ventricular hypertrophy in hemodialysis patients&#8221;,"gurkan yurteri, md",27/09/2022,30/09/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15904
NEFRO-D-22-00349,Casos Clinicos,"Infección diseminada por - Staphylococcus aureus - resistente a meticilina, reporte de caso y revisión de la literatura. - Disseminated methicillin-resistant Staphylococcus aureus infection, case report and literature review.",Samantha Xiomara Medina Montaño,27/09/2022,30/09/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15903
NEFRO-D-22-00350R1,Original,IS JUST ENZYME REPLACEMENT THERAPY ENOUGH FOR FABRY DISEASE TREATMENT? HAVE WE MISSED A TRICK?,Hakan Ozer,27/09/2022,10/01/2023,FIN CIRCUITO: Aceptado,Mariano Rodriguez,Aceptación,Aceptado / Accepted,15900
NEFRO-D-22-00351,Original,Análisis bibliométrico de la producción científica sobre rehabilitación física en pacientes sometidos a diálisis en los últimos 24 años.,"Paula Moscoso, PhD(c)",27/09/2022,06/10/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15891
NEFRO-D-22-00352,Cartas al editor,Gestación a término en una paciente en programa de hemodiálisis crónica - Full-term gestation in a patient in a chronic hemodialysis program,Vanesa García Chumillas,27/09/2022,30/09/2022,FIN CIRCUITO: Rechazado,Mariano Rodriguez,Rechazo,Rechazado / Rejected,15898
