data_identity,numero_manuscrito,referencia,revision,titulo,tipo_articulo,autor,email,fecha_inicial,estado_actual,fecha_estado,fecha_vencimiento,editor,decision_editor_def,est_ev_completo,est_ev_aceptado,est_ev_invitado,est_ev_rechazado,est_ev_tarde,año,ref_maquetado,estado,responsable,notas,entrada,revision_1,comentarios_ultimo_revisor,decision_editor_r1,entrada_r1,revision_r1,coment_compl_r1,dec_editor_r1,entrada_r2,revision_r2,coment_compl_r2,dec_editor_r2,entrada_r3,revision_r3,coment_completos_r3,dec_editor_r3,entrada_r4,revision_r4,coment_completos_r4,rechazo,aceptacion,maquetacion,in_press,publicado,publicado_detalles,pmid,etapa_1,etapa_2,etapa_3,etapa_4,etapa_5,etapa_6,maquet_in_press,activo,ultima_accion,dias_pasados,mayor_10_dias,fecha_alta,fecha_baja
,NEFRO-D-22-00281,NEFRO-D-22-00281,,EL MANEJO MULTIDISCIPLINAR MEJORA EL DIAGNÓSTICO GENÉTICO DE LAS ENFERMEDADES RENALES HEREDITARIAS EN LA ERA DE NEXT GENERATION SEQUENCING (NGS).	,,,,,,,,,,,,,,,2022,NEFRO_1111,7. Publicado,Elsevier,,2022-08-01,2022-08-26,2022-09-10,2022-10-06,2022-10-27,,,2022-11-10,,,,,,,,,,,,,2022-11-10,2022-11-26,2022-12-13,,,,25,15.0,26.0,21.0,,16.0,17,False,2022-12-13,134,False,,
,NEFRO-D-22-00280,NEFRO-D-22-00280,,QUILOPERITONEO EN UN PACIENTE LACTANTE CON SÍNDROME NEFRÓTICO CONGÉNITO CON MUTACIÓN WT1 (SÍNDROME DE DENYS DRASH) - REPORTE DE CASO	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-27,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,8,False,,
,NEFRO-D-22-00279,NEFRO-D-22-00279,,The predictive value of serum aldosterone level for coronary artery calcium score in patients with chronic kidney disease: a single-center study	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-28,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,7,False,,
,NEFRO-D-22-00278,NEFRO-D-22-00278,,NEFROPATÍA LÚPICA  – DIAGNÓSTICO Y TRATAMIENTO – REVISIÓN BIBLIOGRÁFICA LUPUS NEPHROPATHY - DIAGNOSIS AND TREATMENT– LITERATURE REVIEW	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-27,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,8,False,,
,NEFRO-D-22-00277,NEFRO-D-22-00277,,EFECTOS DE LOS aGLP1 EN PACIENTES CON ENFERMEDAD RENAL DIABÉTICA EN CUANTO AL PRONÓSTICO RENAL	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-27,,,2022-08-10,,,,,,,,,,,,,,,,2022-08-10,,,,,,,,,,,,,,False,2022-08-10,14,False,,
,NEFRO-D-22-00276,NEFRO-D-22-00276,,Inibidores de SGLT2 en pacientes en diálisis peritoneal SGLT2 inhibitors in peritoneal dialysis patients	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-26,2022-08-16,2022-08-23,2022-09-03,,,,,,,,,,,,,,,,2022-09-03,,,,,,,21,7.0,11.0,,,,,False,2022-09-03,39,False,,
,NEFRO-D-22-00275,NEFRO-D-22-00275,,Three cases of karyomegalic interstitial nephritis with novel FAN1 mutations from a Chinese family,,,,,,,,,,,,,,,2022,NEFRO_1116,7. Publicado,Elsevier,,2022-07-26,,,2022-08-04,2022-10-27,,,2022-11-11,,,,,,,,,,,,,2022-11-11,2022-11-26,2022-12-30,,,,,,,84.0,,15.0,1900-02-03 00:00:00,False,2022-12-30,157,False,,
,NEFRO-D-22-00275,NEFRO-D-22-00275,,Three cases of karyomegalic interstitial nephritis with novel FAN1 mutations from a Chinese family	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-25,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,10,False,,
,NEFRO-D-22-00274,NEFRO-D-22-00274,,Diagnostic Utility of Urinary Neutrophil Gelatinase Associated Lipocalin in Predicting Severity of Acute Kidney Injury	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-22,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,13,False,,
,NEFRO-D-22-00273,NEFRO-D-22-00273,,Correlation of anti-dsDNA IgA with disease activity and renal involvement based on proteinuria dipstick in SLE patients	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-22,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,13,False,,
,NEFRO-D-22-00272,NEFRO-D-22-00272,,Increased frequency of CD39+CD73+ regulatory T cells and Deltex-1 gene expression level in kidney transplant recipients with excellent long-term graft function	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-25,2022-08-21,2022-09-13,2022-10-06,,,,,,,,,,,,,,,,,,,,,,,27,23.0,23.0,,,,,False,2022-10-06,73,False,,
,NEFRO-D-22-00271,NEFRO-D-22-00271,,Prevalence of hypercalcemia-associated acute kidney injury among bodybuilders/athletes	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-23,,,2022-08-04,,,,,,,,,,,,,,,,2022-08-04,,,,,,,,,,,,,,False,2022-08-04,12,False,,
,NEFRO-D-22-00270,NEFRO-D-22-00270,,Exploration of the mechanism of NORAD activation of TGF-β1/smad3 through miR-136-5p and promotion of tacrolimus-induced renal fibrosis        ,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-22,2022-08-01,2022-09-05,2022-09-25,2022-10-24,2022-10-26,,2022-11-13,,,,,,,,,,,,2022-11-13,,,,,,,10,35.0,20.0,29.0,2.0,,,False,2022-11-13,114,False,,
,NEFRO-D-22-00269,NEFRO-D-22-00269,,Flight of the bumblebee: Triple Trouble after Bee Sting	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-22,,,2022-08-01,,,,,,,,,,,,,,,,2022-08-01,,,,,,,,,,,,,,False,2022-08-01,10,False,,
,NEFRO-D-22-00268,NEFRO-D-22-00268,,Urinary tract infections and related factors in renal transplant recipients	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-21,,,2022-08-01,,,,,,,,,,,,,,,,2022-08-01,,,,,,,,,,,,,,False,2022-08-01,11,False,,
,NEFRO-D-22-00267,NEFRO-D-22-00267,,"A novel surgical approach for patients with large bladder diverticulum, large diverticular stones, multiple bladder stones and benign prostatic hyperplasia: a case report	",,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-21,,,2022-08-01,,,,,,,,,,,,,,,,2022-08-01,,,,,,,,,,,,,,False,2022-08-01,11,False,,
,NEFRO-D-22-00266,NEFRO-D-22-00266,,Predictive role of proteinuria in acute kidney injury after cardiac surgery in patients with impaired renal function	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-21,,,2022-08-01,,,,,,,,,,,,,,,,2022-08-01,,,,,,,,,,,,,,False,2022-08-01,11,False,,
,NEFRO-D-22-00265,NEFRO-D-22-00265,,INTERVENCIONES PARA MEJORAR LA ADHERENCIA A ESTILOS DE VIDA SALUDABLES EN ADULTOS CON UN TRASPLANTE RENAL: UNA REVISIÓN SISTEMÁTICA.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-21,,,2022-08-25,,,,,,,,,,,,,,,,2022-08-25,,,,,,,,,,,,,,False,2022-08-25,35,False,,
,NEFRO-D-22-00264,NEFRO-D-22-00264,,"Aspectos no resueltos en el manejo de la anemia renal, un consenso Delphi del Grupo de Anemia de la S.E.N	",,,,,,,,,,,,,,,2022,NEFRO_1117,7. Publicado,Elsevier,,2022-07-19,2022-07-21,2022-08-25,2022-09-03,2022-10-26,2022-10-26,2022-10-29,2022-11-11,,,,,,,,,,,,,2022-11-11,2022-11-28,2022-12-09,,,,2,35.0,9.0,53.0,0.0,17.0,11,False,2022-12-09,143,False,,
,NEFRO-D-22-00259,NEFRO-D-22-00259,,Vasculitis leucocitoclástica por vacuna de la influenza en un paciente trasplantado renal Influenza vaccine-induced leukocytoclastic vasculitis in a patient with a transplanted kidney	,,,,,,,,,,,,,,,2022,NEFRO_1087,7. Publicado,Elsevier,,2022-07-14,,,2022-07-16,2022-07-21,,,2022-07-25,,,,,,,,,,,,,2022-07-25,2022-08-23,2022-09-06,,,,,,,5.0,,29.0,14,False,2022-09-06,54,False,,
,NEFRO-D-22-00258,NEFRO-D-22-00258,,Finerenona: completando el abordaje del paciente con enfermedad renal y diabetes        ,,,,,,,,,,,,,,,2022,NEFRO_1099,6. Revisión Maquetación,0,"Además de lo comentado por los maquetadores, habría que indicar que volvieran a enviar las figuras con un tamaño de letra mayor, ya que sobre todo la figura1 y figura2 son casi imposibles de leer.
",2022-07-14,2022-07-16,2022-08-19,2022-08-25,2022-08-31,,,2022-09-01,,,,,,,,,,,,,2022-09-01,2022-09-21,,,,,2,34.0,6.0,6.0,,20.0,,True,2022-09-21,127,True,,
,NEFRO-D-22-00257,NEFRO-D-22-00257,,Biochemical Composition Estimation for Maintenance Hemodialysis Patients Based on Cell Bioelectrical Indicators	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-13,2022-07-23,2022-08-24,2022-09-03,,,,,,,,,,,,,,,,2022-09-03,,,,,,,10,32.0,10.0,,,,,False,2022-09-03,52,False,,
,NEFRO-D-22-00256,NEFRO-D-22-00256,,RESPUESTA	,,,,,,,,,,,,,,,2022,NEFRO_1083,6. Revisión Maquetación,0,"Se debe publicar junto a NEFRO-D-21-00145  y NEFRO-D-20-00247R1       

El título deberá cambiar a: Respuesta a Comentarios sobre el Documento de Consenso de Poliquistosis Renal Autosómica Dominante de la SENefro.",2022-07-12,,,2022-07-27,,,,,,,,,,,,,,,,,2022-07-27,2022-08-08,,,2023.43(1)Enero-Febrero,,,,,,,12.0,,True,2022-08-08,171,True,,
,NEFRO-D-22-00255,NEFRO-D-22-00255,,"EXCRECIÓN URINARIA DE CALCIO, FÓSFORO, MAGNESIO, ÁCIDO ÚRICO Y ELECTROLITOS EN RELACIÓN CON LA CREATININA EN RECIÉN NACIDOS, LACTANTES Y NIÑOS SANOS <5 AÑOS	",,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-11,,,2022-07-27,,,,,,,,,,,,,,,,2022-07-27,,,,,,,,,,,,,,False,2022-07-27,16,False,,
,NEFRO-D-22-00254,NEFRO-D-22-00254,,Alteraciones metabólicas en pacientes con litiasis renal con y sin diabetes mellitus tipo 2	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-11,,,2022-07-16,,,,,,,,,,,,,,,,2022-07-16,,,,,,,,,,,,,,False,2022-07-16,5,False,,
,NEFRO-D-22-00253,NEFRO-D-22-00253,,Preventive and healing effect of high dosing grape seed flour on CKD patients of various stages and etiologies	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-11,,,2022-07-16,,,,,,,,,,,,,,,,2022-07-16,,,,,,,,,,,,,,False,2022-07-16,5,False,,
,NEFRO-D-22-00252,NEFRO-D-22-00252,,SGLT-2 inhibitors in non-diabetic patients: a systematic review of renal outcomes	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-11,,,2022-07-21,,,,,,,,,,,,,,,,2022-07-21,,,,,,,,,,,,,,False,2022-07-21,10,False,,
,NEFRO-D-22-00251,NEFRO-D-22-00251,,"Asociación de los niveles urinarios de TWEAK  con los depositos histologicos de marcadores de lesión endotelial y tubulointersticial (VCAM-1, VEGF y TGF-β) en pacientes con nefritis lúpica.  Association of uTWEAK levels with renal histological deposits of endothelial and tubulointerstitial injury markers (VCAM-1, VEGF and TGF-β) in patients with lupus nephritis	",,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-10,2022-08-21,,2022-08-14,,,,,,,,,,,,,,,,2022-08-21,,,,,,,42,,,,,,,False,2022-08-21,42,False,,
,NEFRO-D-22-00250,NEFRO-D-22-00250,,ANGPT2/CAV1 regulates albumin transcytosis of glomerular endothelial cells under high glucose exposure and is impaired by losartan	,,,,,,,,,,,,,,,2022,NEFRO_1110,6. Revisión Maquetación,0,,2022-07-10,2022-07-16,,2022-10-04,2022-11-03,,,2022-11-10,,,,,,,,,,,,,2022-11-10,2022-11-30,,,,,6,,,30.0,,20.0,,True,2022-11-30,57,True,,
,NEFRO-D-22-00249,NEFRO-D-22-00249,,"REDUCCIÓN DE LA TASA DE BACTERIEMIAS POR CATÉTER CON EL USO DE POLIHEXANIDA-BETAÍNA AL 0,1% EN UNA UNIDAD DE HEMODIÁLISIS PEDIÁTRICA.	",,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-10,,,2022-07-21,,,,,,,,,,,,,,,,2022-07-21,,,,,,,,,,,,,,False,2022-07-21,11,False,,
,NEFRO-D-22-00248,NEFRO-D-22-00248,,PSEUDOXANTOMA ELASTICUM E HIPOURICEMIA RENAL HEREDITARIA: ¿COMPLICACIÓN DE AFECCIÓN SISTÉMICA O ENTIDADES DIFERENTES? PRESENTACIÓN DE UN CASO. “ PSEUDOXANTHOMA ELASTICUM AND HEREDITARY RENAL HYPOURICEMIA: COMPLICATION OF SYSTEMIC DISORDERS OR DIFFERENT ENTITIES? PRESENTATION OF A CASE.”	,,,,,,,,,,,,,,,2022,NEFRO_1082,6. Revisión Maquetación,0,Pendiente de que Mariano nos envíe la respuesta a la maquetación.,2022-07-07,,,2022-07-27,,,,,,,,,,,,,,,,,2022-07-27,2022-08-08,2022-07-29,,,,,,,,,12.0,-10,True,2022-08-08,171,True,,
,NEFRO-D-22-00247,NEFRO-D-22-00247,,Efecto de la normalización de las concentraciones séricas de 25(OH)D sobre el eje PTH/vitamina D/calcio - FGF23/Klotho/fósforo y la asociación entre PTH y Klotho en receptores de trasplante renal tratados con colecalciferol	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-07,,,2022-07-17,,,,,,,,,,,,,,,,2022-07-17,,,,,,,,,,,,,,False,2022-07-17,10,False,,
,NEFRO-D-22-00246,NEFRO-D-22-00246,,Shunt posto-sistémico congénito. Una causa infrecuente de glomerulonefritis membranoproliferativa. Congenital porto-systemic shunt. An uncommon cause of membranoproliferative glomerulonephritis.	,,,,,,,,,,,,,,,2022,NEFRO_1094,6. Revisión Maquetación,0,,2022-07-06,,,2022-07-17,2022-08-09,,,2022-08-25,,,,,,,,,,,,,2022-08-25,2022-09-07,,,,,,,,23.0,,13.0,,True,2022-09-07,141,True,,
,NEFRO-D-22-00245,NEFRO-D-22-00245,,Desarrollo y validación de un modelo pronóstico para predecir la terapia de reemplazo renal en pacientes con hipertensión pulmonar aguda descompensada ingresados ​​en la Unidad de Cuidados Intensivos	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-06,,,2022-07-17,,,,,,,,,,,,,,,,2022-07-17,,,,,,,,,,,,,,False,2022-07-17,11,False,,
,NEFRO-D-22-00244,NEFRO-D-22-00244,,Association of inflammation with nutritional markers in chronic hemodialysis patients with protein-energy wasting	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-06,,,2022-07-17,,,,,,,,,,,,,,,,2022-07-17,,,,,,,,,,,,,,False,2022-07-17,11,False,,
,NEFRO-D-22-00243,NEFRO-D-22-00243,,Sindrome hipertensivo hiponatrémico: reporte de un caso. Hyponatremic hypertensive syndrome: a case report.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-06,,,2022-07-21,,,,,,,,,,,,,,,,2022-07-21,,,,,,,,,,,,,,False,2022-07-21,15,False,,
,NEFRO-D-22-00242,NEFRO-D-22-00242,,Immunoglobulin A Nephropathy (IgAN); Biomarkers as important Predictors of Disease Progression.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-05,,,2022-07-17,,,,,,,,,,,,,,,,2022-07-17,,,,,,,,,,,,,,False,2022-07-17,12,False,,
,NEFRO-D-22-00241,NEFRO-D-22-00241,,Inusual caso de Glomerulonefritis Proliferativa con Depósitos de Inmunoglobulina Monoclonal en un paciente con Linfoma Esplénico de Zona Marginal An unusual case of Proliferative Glomerulonephritis with Deposition of Monoclonal Immunoglobulin in patient with Splenic Marginal Lymphoma	,,,,,,,,,,,,,,,2022,,Nefroplus,Mariano/Roberto,"NO APARECE EN EDITORIAL MANAGER - VER TODOS LOS MANUSCRITOS ASIGNADOS. Lo dejo una semana. Si la próxima semana no tiene revisores, avisar a Roberto (es a quien se le ha enviado según el historial -en buscar manuscritos-) o bien decirle a Ángeles que no aparece en Ver todos los manuscritos asignados de EM.",2022-07-03,,,2022-07-21,2022-07-25,2022-07-29,,,,,,,,,,2022-08-17,,,,2022-08-17,,,,,,,,,,4.0,4.0,,,False,2022-08-17,45,False,,
,NEFRO-D-22-00240,NEFRO-D-22-00240,,Predicting one-year mortality after hemodialysis start: the role of the CHA2DS2-VASc ScorePredicción de la mortalidad al año después del inicio de la hemodiálisis: el papel de la puntuación CHA₂DS₂-VASc	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-03,2022-07-17,2022-08-27,2022-09-03,,,,,,,,,,,,,,,,2022-09-03,,,,,,,14,41.0,7.0,,,,,False,2022-09-03,62,False,,
,NEFRO-D-22-00238,NEFRO-D-22-00238,,Reacción alérgica en hemodiálisis secundaria a membranas sintéticas.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-07-01,,,2022-07-24,,,,,,,,,,,,,,,,2022-07-24,,,,,,,,,,,,,,False,2022-07-24,23,False,,
,NEFRO-D-22-00237,NEFRO-D-22-00237,,Asociación de los niveles séricos de vitamina B con mortalidad por todas las causas y cardiovascular en pacientes en hemodiálisis	,,,,,,,,,,,,,,,2022,,Decisión en curso,Mariano/Roberto,CONSIDERAR RETIRAR EL ARTÍCULO. Tenía previsto el envío de cambios para agosto. Sin respuesta de los autores.,2022-06-29,,,2022-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2022-07-23,187,True,,
,NEFRO-D-22-00236,NEFRO-D-22-00236,,Comparison of the performance of various estimated glomerular filtration rate equations with 24-hour urine creatinine clearance	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-29,,,2022-07-23,,,,,,,,,,,,,,,,2022-07-23,,,,,,,,,,,,,,False,2022-07-23,24,False,,
,NEFRO-D-22-00235,NEFRO-D-22-00235,,ETIOLOGIA DE LA LESIÓN RENAL AGUDA EN LA INFECCIÓN POR COVID – 19 ETIOLOGY OF ACUTE KIDNEY INJURY IN COVID-19 INFECTION	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-28,,,2022-07-23,,,,,,,,,,,,,,,,2022-07-23,,,,,,,,,,,,,,False,2022-07-23,25,False,,
,NEFRO-D-22-00234,NEFRO-D-22-00234,,Identification of probable urinary tract infection in children using low bacterial count thresholds in urine culture: a prospective observational study	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-28,,,2022-07-23,,,,,,,,,,,,,,,,2022-07-23,,,,,,,,,,,,,,False,2022-07-23,25,False,,
,NEFRO-D-22-00233,NEFRO-D-22-00233,,ESTUDIO DESCRIPTIVO SOBRE BACTERIEMIAS EN PACIENTES CON ENFERMEDAD RENAL CRÓNICA DURANTE AFECCIÓN POR NEUMONÍA COVID-19.  “DESCRIPTIVE STUDY ABOUT BACTEREMIAS IN PATIENTS WITH CHRONIC KIDNEY DISEASE DURING COVID-19 PNEUMONIA”	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-24,,,2022-06-27,,,,,,,,,,,,,,,,2022-06-27,,,,,,,,,,,,,,False,2022-06-27,3,False,,
,NEFRO-D-22-00232,NEFRO-D-22-00232,,Síndrome pierde sal cerebral asociado a ingesta de dióxido de cloro utilizado para prevención de infección por SARS-COV2. Cerebral salt-wasting syndrome associated with ingestion of chlorine dioxide used to prevent SARS-COV2 infection.	,,,,,,,,,,,,,,,2022,NEFRO_1089,6. Revisión Maquetación,0,,2022-06-24,,,2022-06-27,2022-07-15,,,2022-07-21,,,,,,,,,,,,,2022-07-21,2022-08-30,,,,,,,,18.0,,40.0,,True,2022-08-30,149,True,,
,NEFRO-D-22-00231,NEFRO-D-22-00231,,Changes of MicroRNA-377 in Diabetic Nephropathy	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-19,,,2022-07-03,,,,,,,,,,,,,,,,2022-07-03,,,,,,,,,,,,,,False,2022-07-03,14,False,,
,NEFRO-D-22-00230,NEFRO-D-22-00230,,Recirculación sanguínea durante la terapia continua de depuración renal debido a un trombo en la vena cava inferior.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-17,,,2022-06-28,,,,,,,,,,,,,,,,2022-06-28,,,,,,,,,,,,,,False,2022-06-28,11,False,,
,NEFRO-D-22-00229,NEFRO-D-22-00229,,All that glitters is not gold: Proteinuria and renal dysfunction in a patient with chronic immunthrombocytopenic purpura (mis)diagnosis	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-16,,,2022-07-03,,,,,,,,,,,,,,,,2022-07-03,,,,,,,,,,,,,,False,2022-07-03,17,False,,
,NEFRO-D-22-00228,NEFRO-D-22-00228,,Una glomerulonefritis salvaje: Glomerulonefritis rápidamente progresiva asociada a hemorragia pulmonar difusa.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-16,,,2022-07-03,,,,,,,,,,,,,,,,2022-07-03,,,,,,,,,,,,,,False,2022-07-03,17,False,,
,NEFRO-D-22-00227,NEFRO-D-22-00227,,Treatment of patients with COVID-19 on Hemodialysis: Efficacy of Remdesivir        ,,,,,,,,,,,,,,,2022,NEFRO_1085,6. Revisión Maquetación,0,"Este artículo nos ha llegado para enviar cambios, pero ya está en PrePublicación en la web y aparece en PubMed. COMPROBAR QUE LOS CAMBIOS SE HACEN EN LA WEB.",2022-06-16,,,2022-07-03,2022-07-10,,,2022-07-28,,,,,,,,,,,,,2022-07-28,2022-08-12,2022-08-13,,,35937587,,,,7.0,,15.0,1,True,2022-08-13,166,True,,
,NEFRO-D-22-00226,NEFRO-D-22-00226,,"""Cuánto tiempo es demasiado tiempo en la profilaxis de infecciones oportunistas? Pneumonía por Pneumocystis jirovecii de aparición tardía en trasplante renal."" ""How long is too long in opportunistic infection prophylaxis? Late onset of Pneumocystis jirovecci pneumonia in Kidney Transplant.""	",,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-16,,,2022-07-23,,,,,,,,,,,,,,,,2022-07-23,,,,,,,,,,,,,,False,2022-07-23,37,False,,
,NEFRO-D-22-00225,NEFRO-D-22-00225,,"Proteinuria en la infancia, a propósito de un caso de enfermedad de Dent	",,,,,,,,,,,,,,,2022,,Retirado,0,,2022-06-15,,,2022-06-17,2022-06-23,,,2022-06-28,,,,2022-07-06,,,,,,,,2022-07-06,,,,,,,,,,6.0,,,,False,2022-07-06,21,False,,
,NEFRO-D-22-00224,NEFRO-D-22-00224,,The outcomes of renin-angiotensin-aldosterone system inhibition and immunosuppressive therapy in children with X-linked Alport Syndrome	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-15,,,2022-06-17,,,,,,,,,,,,,,,,2022-06-17,,,,,,,,,,,,,,False,2022-06-17,2,False,,
,NEFRO-D-22-00223,NEFRO-D-22-00223,,Concordancia entre las ecuaciones de estimación del filtrado glomerular y el aclaramiento de creatinina en orina de 4 horas en pacientes críticos con trauma grave Concordance between glomerular filtration rate estimation equations and 4-hour urinary creatinine clearance in critically ill patients with severe trauma	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-14,,,2022-07-03,,,,,,,,,,,,,,,,2022-07-03,,,,,,,,,,,,,,False,2022-07-03,19,False,,
,NEFRO-D-22-00222,NEFRO-D-22-00222,,First case of atypic hemolytic uremic syndrome after Pfizer-Biontech vaccine	,,,,,,,,,,,,,,,2022,,Decisión en curso,Mariano/Roberto,ESTÁ PUBLICADO EN OTRA REVISTA,2022-06-14,,,2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2022-06-17,223,True,,
,NEFRO-D-22-00221,NEFRO-D-22-00221,,"""Un Nefrólogo tratando SIAD com urea en pacientes oncológicos. "" ""I’m a Nephrologist and I give urea to my patients. SIAD in oncological patients.""	",,,,,,,,,,,,,,,2022,NEFRO_1076,7. Publicado,Elsevier,,2022-06-13,,,2022-06-17,2022-06-20,,,2022-06-28,,,,,,,,,,,,,2022-06-28,2022-07-13,2022-07-27,,,,,,,3.0,,15.0,14,False,2022-07-27,44,False,,
,NEFRO-D-22-00220,NEFRO-D-22-00220,,COMPARATIVA DE LA RESPUESTA INMUNE GENERADA EN PACIENTES EN DIÁLISIS TRAS ADMINISTRACIÓN DE DOS Y TRES DOSIS DE mRNA-1273 O BNT162b2	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-13,,,2022-06-28,,,,,,,,,,,,,,,,2022-06-28,,,,,,,,,,,,,,False,2022-06-28,15,False,,
,NEFRO-D-22-00219,NEFRO-D-22-00219,,AKI (“Acute Kidney Injury”): la nomenclatura también es importante        ,,,,,,,,,,,,,,,2022,NEFRO_1084,6. Revisión Maquetación,0,,2022-06-12,,,2022-06-28,2022-07-07,,,2022-07-28,,,,,,,,,,,,,2022-07-28,2022-08-11,,,,,,,,9.0,,14.0,,True,2022-08-11,168,True,,
,NEFRO-D-22-00218,NEFRO-D-22-00218,,Tratamiento de la peritonitis por Staphylococcus con linezolida oral sin extracción del catéter en un paciente en diálisis peritonealTreatment of Staphylococcus peritonitis using oral linezolid without catheter removal in a peritoneal dialysis patient	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-12,,,2022-06-18,,,,,,,,,,,,,,,,2022-06-18,,,,,,,,,,,,,,False,2022-06-18,6,False,,
,NEFRO-D-22-00217,NEFRO-D-22-00217,,UN NUEVO SCORE BASADO EN EL EMPAREJAMIENTO ENTRE DONANTE Y RECEPTOR EN EDAD-SEXO-IMC SE RELACIONA CON LA EVOLUCIÓN DEL INJERTO TRAS EL TRASPLANTE RENAL A NEW SCORE BASED ON DONOR-RECIPIENT MATCHING IN AGE-GENDER-BMI IS RELATED TO THE EVOLUTION OF THE GRAFT AFTER RENAL TRANSPLANTATION        ,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,,2022-06-12,2022-07-21,2022-09-06,2022-10-06,,,,,,,,,,,,,,,,2022-10-06,,,,,,,39,47.0,30.0,,,,,False,2022-10-06,116,False,,
,NEFRO-D-22-00216,NEFRO-D-22-00216,,Coexistencia de glomerulonefritis ANCA-MPO asociada a complejos inmunes posterior a vacunación con Moderna COVID-19.	,,,,,,,,,,,,,,,2022,,Rechazado,Mariano/Roberto,está en proceso de revisión para NEFROPLUS,2022-06-09,2022-07-16,,2022-09-03,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,False,2022-09-03,86,False,,
